Industry  IndustryDescription									    Commodity CommodityDescription									ProVal    IOYear
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        331510    Ferrous metal foundries                                                                   43.60     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        332720    Turned product and screw, nut, and bolt manufacturing                                     31.20     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        332991    Ball and roller bearing manufacturing                                                     24.90     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        333612    Speed changer, industrial high-speed drive, and gear manufacturing                        1737.60   2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        333613    Mechanical power transmission equipment manufacturing                                     69.60     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        333920    Material handling equipment manufacturing                                                 32.50     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        336300    Motor vehicle parts manufacturing                                                         47.70     2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        541511    Custom computer programming services                                                      6.20      2002      
333612    Speed changer, industrial high-speed drive, and gear manufacturing                        S00401    Scrap                                                                                     0.20      2002      
333613    Mechanical power transmission equipment manufacturing                                     33221B    Handtool manufacturing                                                                    35.00     2002      
333613    Mechanical power transmission equipment manufacturing                                     332720    Turned product and screw, nut, and bolt manufacturing                                     43.80     2002      
333613    Mechanical power transmission equipment manufacturing                                     332991    Ball and roller bearing manufacturing                                                     64.20     2002      
333613    Mechanical power transmission equipment manufacturing                                     33299C    Other fabricated metal manufacturing                                                      26.40     2002      
333613    Mechanical power transmission equipment manufacturing                                     333112    Lawn and garden equipment manufacturing                                                   77.00     2002      
333613    Mechanical power transmission equipment manufacturing                                     333612    Speed changer, industrial high-speed drive, and gear manufacturing                        191.20    2002      
333613    Mechanical power transmission equipment manufacturing                                     333613    Mechanical power transmission equipment manufacturing                                     2042.00   2002      
333613    Mechanical power transmission equipment manufacturing                                     333618    Other engine equipment manufacturing                                                      35.10     2002      
333613    Mechanical power transmission equipment manufacturing                                     333920    Material handling equipment manufacturing                                                 26.30     2002      
333613    Mechanical power transmission equipment manufacturing                                     33399A    Other general purpose machinery manufacturing                                             28.50     2002      
333613    Mechanical power transmission equipment manufacturing                                     336300    Motor vehicle parts manufacturing                                                         54.20     2002      
333613    Mechanical power transmission equipment manufacturing                                     336413    Other aircraft parts and auxiliary equipment manufacturing                                29.30     2002      
333613    Mechanical power transmission equipment manufacturing                                     541511    Custom computer programming services                                                      8.00      2002      
333613    Mechanical power transmission equipment manufacturing                                     S00401    Scrap                                                                                     1.00      2002      
333618    Other engine equipment manufacturing                                                      332991    Ball and roller bearing manufacturing                                                     89.20     2002      
333618    Other engine equipment manufacturing                                                      33299B    Arms, ordnance, and accessories manufacturing                                             46.70     2002      
333618    Other engine equipment manufacturing                                                      333415    Air conditioning, refrigeration, and warm air heating equipment manufacturing             54.30     2002      
333618    Other engine equipment manufacturing                                                      333611    Turbine and turbine generator set units manufacturing                                     20.10     2002      
333618    Other engine equipment manufacturing                                                      333613    Mechanical power transmission equipment manufacturing                                     58.60     2002      
333618    Other engine equipment manufacturing                                                      333618    Other engine equipment manufacturing                                                      17001.50  2002      
333618    Other engine equipment manufacturing                                                      333911    Pump and pumping equipment manufacturing                                                  71.90     2002      
333618    Other engine equipment manufacturing                                                      333912    Air and gas compressor manufacturing                                                      32.40     2002      
333618    Other engine equipment manufacturing                                                      334515    Electricity and signal testing instruments manufacturing                                  34.90     2002      
333618    Other engine equipment manufacturing                                                      335312    Motor and generator manufacturing                                                         222.20    2002      
333618    Other engine equipment manufacturing                                                      336300    Motor vehicle parts manufacturing                                                         320.90    2002      
333618    Other engine equipment manufacturing                                                      336999    All other transportation equipment manufacturing                                          180.70    2002      
333618    Other engine equipment manufacturing                                                      420000    Wholesale trade                                                                           106.90    2002      
333618    Other engine equipment manufacturing                                                      541511    Custom computer programming services                                                      21.30     2002      
333618    Other engine equipment manufacturing                                                      S00401    Scrap                                                                                     11.90     2002      
333911    Pump and pumping equipment manufacturing                                                  230102    Nonresidential manufacturing structures                                                   0.40      2002      
333911    Pump and pumping equipment manufacturing                                                  331420    Copper rolling, drawing, extruding and alloying                                           32.60     2002      
333911    Pump and pumping equipment manufacturing                                                  332410    Power boiler and heat exchanger manufacturing                                             24.50     2002      
333911    Pump and pumping equipment manufacturing                                                  332420    Metal tank (heavy gauge) manufacturing                                                    38.10     2002      
333911    Pump and pumping equipment manufacturing                                                  332710    Machine shops                                                                             7.60      2002      
333911    Pump and pumping equipment manufacturing                                                  33291A    Valve and fittings other than plumbing                                                    87.70     2002      
333911    Pump and pumping equipment manufacturing                                                  33299C    Other fabricated metal manufacturing                                                      22.50     2002      
333911    Pump and pumping equipment manufacturing                                                  333319    Other commercial and service industry machinery manufacturing                             11.20     2002      
333911    Pump and pumping equipment manufacturing                                                  333414    Heating equipment (except warm air furnaces) manufacturing                                49.70     2002      
333911    Pump and pumping equipment manufacturing                                                  333415    Air conditioning, refrigeration, and warm air heating equipment manufacturing             61.60     2002      
333911    Pump and pumping equipment manufacturing                                                  333911    Pump and pumping equipment manufacturing                                                  6893.70   2002      
333911    Pump and pumping equipment manufacturing                                                  333912    Air and gas compressor manufacturing                                                      56.40     2002      
333911    Pump and pumping equipment manufacturing                                                  33399A    Other general purpose machinery manufacturing                                             44.80     2002      
333911    Pump and pumping equipment manufacturing                                                  33399B    Fluid power process machinery                                                             35.40     2002      
333911    Pump and pumping equipment manufacturing                                                  334513    Industrial process variable instruments manufacturing                                     39.00     2002      
333911    Pump and pumping equipment manufacturing                                                  335120    Lighting fixture manufacturing                                                            42.80     2002      
333911    Pump and pumping equipment manufacturing                                                  335314    Relay and industrial control manufacturing                                                38.80     2002      
333911    Pump and pumping equipment manufacturing                                                  336300    Motor vehicle parts manufacturing                                                         48.10     2002      
333911    Pump and pumping equipment manufacturing                                                  420000    Wholesale trade                                                                           90.00     2002      
333911    Pump and pumping equipment manufacturing                                                  541511    Custom computer programming services                                                      15.50     2002      
333912    Air and gas compressor manufacturing                                                      230102    Nonresidential manufacturing structures                                                   0.40      2002      
333912    Air and gas compressor manufacturing                                                      332710    Machine shops                                                                             16.80     2002      
333912    Air and gas compressor manufacturing                                                      332720    Turned product and screw, nut, and bolt manufacturing                                     50.90     2002      
333912    Air and gas compressor manufacturing                                                      333111    Farm machinery and equipment manufacturing                                                102.50    2002      
333912    Air and gas compressor manufacturing                                                      33351A    Metal cutting and forming machine tool manufacturing                                      27.20     2002      
333912    Air and gas compressor manufacturing                                                      333611    Turbine and turbine generator set units manufacturing                                     29.30     2002      
333912    Air and gas compressor manufacturing                                                      333911    Pump and pumping equipment manufacturing                                                  29.30     2002      
333912    Air and gas compressor manufacturing                                                      333912    Air and gas compressor manufacturing                                                      3639.80   2002      
333912    Air and gas compressor manufacturing                                                      333991    Power-driven handtool manufacturing                                                       82.90     2002      
333912    Air and gas compressor manufacturing                                                      335311    Power, distribution, and specialty transformer manufacturing                              61.30     2002      
333912    Air and gas compressor manufacturing                                                      335312    Motor and generator manufacturing                                                         129.30    2002      
333912    Air and gas compressor manufacturing                                                      420000    Wholesale trade                                                                           11.30     2002      
333912    Air and gas compressor manufacturing                                                      541511    Custom computer programming services                                                      10.40     2002      
333920    Material handling equipment manufacturing                                                 230102    Nonresidential manufacturing structures                                                   2.20      2002      
333920    Material handling equipment manufacturing                                                 326220    Rubber and plastics hoses and belting manufacturing                                       68.10     2002      
333920    Material handling equipment manufacturing                                                 33291A    Valve and fittings other than plumbing                                                    23.90     2002      
333920    Material handling equipment manufacturing                                                 333120    Construction machinery manufacturing                                                      10.60     2002      
333920    Material handling equipment manufacturing                                                 333130    Mining and oil and gas field machinery manufacturing                                      62.90     2002      
333920    Material handling equipment manufacturing                                                 33329A    Other industrial machinery manufacturing                                                  13.40     2002      
333920    Material handling equipment manufacturing                                                 333319    Other commercial and service industry machinery manufacturing                             23.50     2002      
333920    Material handling equipment manufacturing                                                 333415    Air conditioning, refrigeration, and warm air heating equipment manufacturing             34.40     2002      
333920    Material handling equipment manufacturing                                                 333618    Other engine equipment manufacturing                                                      26.70     2002      
333920    Material handling equipment manufacturing                                                 333912    Air and gas compressor manufacturing                                                      42.60     2002      
333920    Material handling equipment manufacturing                                                 333920    Material handling equipment manufacturing                                                 13863.60  2002      
333920    Material handling equipment manufacturing                                                 333991    Power-driven handtool manufacturing                                                       36.00     2002      
333920    Material handling equipment manufacturing                                                 333993    Packaging machinery manufacturing                                                         5.70      2002      
333920    Material handling equipment manufacturing                                                 33399A    Other general purpose machinery manufacturing                                             25.00     2002      
333920    Material handling equipment manufacturing                                                 33399B    Fluid power process machinery                                                             19.70     2002      
333920    Material handling equipment manufacturing                                                 335314    Relay and industrial control manufacturing                                                33.50     2002      
333920    Material handling equipment manufacturing                                                 336211    Motor vehicle body manufacturing                                                          37.90     2002      
333920    Material handling equipment manufacturing                                                 336212    Truck trailer manufacturing                                                               29.90     2002      
333920    Material handling equipment manufacturing                                                 336300    Motor vehicle parts manufacturing                                                         154.00    2002      
333920    Material handling equipment manufacturing                                                 337215    Showcase, partition, shelving, and locker manufacturing                                   43.50     2002      
333920    Material handling equipment manufacturing                                                 339950    Sign manufacturing                                                                        12.70     2002      
333920    Material handling equipment manufacturing                                                 420000    Wholesale trade                                                                           193.00    2002      
333920    Material handling equipment manufacturing                                                 541511    Custom computer programming services                                                      38.10     2002      
333991    Power-driven handtool manufacturing                                                       33221B    Handtool manufacturing                                                                    54.80     2002      
333991    Power-driven handtool manufacturing                                                       333112    Lawn and garden equipment manufacturing                                                   89.30     2002      
333991    Power-driven handtool manufacturing                                                       333319    Other commercial and service industry machinery manufacturing                             71.50     2002      
333991    Power-driven handtool manufacturing                                                       333515    Cutting tool and machine tool accessory manufacturing                                     21.60     2002      
333991    Power-driven handtool manufacturing                                                       333912    Air and gas compressor manufacturing                                                      54.10     2002      
333991    Power-driven handtool manufacturing                                                       333991    Power-driven handtool manufacturing                                                       2887.10   2002      
333991    Power-driven handtool manufacturing                                                       33399B    Fluid power process machinery                                                             26.10     2002      
333991    Power-driven handtool manufacturing                                                       335120    Lighting fixture manufacturing                                                            42.80     2002      
333991    Power-driven handtool manufacturing                                                       335312    Motor and generator manufacturing                                                         185.50    2002      
333991    Power-driven handtool manufacturing                                                       335999    All other miscellaneous electrical equipment and component manufacturing                  26.90     2002      
333991    Power-driven handtool manufacturing                                                       420000    Wholesale trade                                                                           61.90     2002      
333991    Power-driven handtool manufacturing                                                       541511    Custom computer programming services                                                      7.60      2002      
333991    Power-driven handtool manufacturing                                                       S00401    Scrap                                                                                     1.50      2002      
333993    Packaging machinery manufacturing                                                         230102    Nonresidential manufacturing structures                                                   0.40      2002      
333993    Packaging machinery manufacturing                                                         332710    Machine shops                                                                             20.10     2002      
333993    Packaging machinery manufacturing                                                         333220    Plastics and rubber industry machinery manufacturing                                      68.20     2002      
333993    Packaging machinery manufacturing                                                         33329A    Other industrial machinery manufacturing                                                  69.30     2002      
333993    Packaging machinery manufacturing                                                         333319    Other commercial and service industry machinery manufacturing                             73.30     2002      
333993    Packaging machinery manufacturing                                                         333920    Material handling equipment manufacturing                                                 39.10     2002      
333993    Packaging machinery manufacturing                                                         333993    Packaging machinery manufacturing                                                         3716.10   2002      
333993    Packaging machinery manufacturing                                                         33451A    Watch, clock, and other measuring and controlling device manufacturing                    10.90     2002      
333993    Packaging machinery manufacturing                                                         420000    Wholesale trade                                                                           47.40     2002      
333993    Packaging machinery manufacturing                                                         541511    Custom computer programming services                                                      9.00      2002      
333994    Industrial process furnace and oven manufacturing                                         230102    Nonresidential manufacturing structures                                                   0.40      2002      
333994    Industrial process furnace and oven manufacturing                                         327992    Ground or treated mineral and earth manufacturing                                         23.10     2002      
333994    Industrial process furnace and oven manufacturing                                         333220    Plastics and rubber industry machinery manufacturing                                      49.80     2002      
333994    Industrial process furnace and oven manufacturing                                         333414    Heating equipment (except warm air furnaces) manufacturing                                54.80     2002      
333994    Industrial process furnace and oven manufacturing                                         333618    Other engine equipment manufacturing                                                      60.90     2002      
333994    Industrial process furnace and oven manufacturing                                         333994    Industrial process furnace and oven manufacturing                                         1344.10   2002      
333994    Industrial process furnace and oven manufacturing                                         420000    Wholesale trade                                                                           36.20     2002      
333994    Industrial process furnace and oven manufacturing                                         541511    Custom computer programming services                                                      6.60      2002      
33399A    Other general purpose machinery manufacturing                                             230102    Nonresidential manufacturing structures                                                   0.60      2002      
33399A    Other general purpose machinery manufacturing                                             326290    Other rubber product manufacturing                                                        44.60     2002      
33399A    Other general purpose machinery manufacturing                                             331490    Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying    55.50     2002      
33399A    Other general purpose machinery manufacturing                                             331520    Nonferrous metal foundries                                                                28.20     2002      
33399A    Other general purpose machinery manufacturing                                             332310    Plate work and fabricated structural product manufacturing                                4.40      2002      
33399A    Other general purpose machinery manufacturing                                             332420    Metal tank (heavy gauge) manufacturing                                                    86.50     2002      
33399A    Other general purpose machinery manufacturing                                             332710    Machine shops                                                                             46.30     2002      
33399A    Other general purpose machinery manufacturing                                             332720    Turned product and screw, nut, and bolt manufacturing                                     8.90      2002      
33399A    Other general purpose machinery manufacturing                                             33291A    Valve and fittings other than plumbing                                                    193.80    2002      
33399A    Other general purpose machinery manufacturing                                             33299C    Other fabricated metal manufacturing                                                      26.60     2002      
33399A    Other general purpose machinery manufacturing                                             333130    Mining and oil and gas field machinery manufacturing                                      32.70     2002      
33399A    Other general purpose machinery manufacturing                                             333220    Plastics and rubber industry machinery manufacturing                                      11.90     2002      
33399A    Other general purpose machinery manufacturing                                             33329A    Other industrial machinery manufacturing                                                  12.30     2002      
33399A    Other general purpose machinery manufacturing                                             333319    Other commercial and service industry machinery manufacturing                             14.80     2002      
33399A    Other general purpose machinery manufacturing                                             33341A    Air purification and ventilation equipment manufacturing                                  18.00     2002      
33399A    Other general purpose machinery manufacturing                                             333514    Special tool, die, jig, and fixture manufacturing                                         125.00    2002      
33399A    Other general purpose machinery manufacturing                                             333515    Cutting tool and machine tool accessory manufacturing                                     7.40      2002      
33399A    Other general purpose machinery manufacturing                                             33351A    Metal cutting and forming machine tool manufacturing                                      4.00      2002      
33399A    Other general purpose machinery manufacturing                                             33351B    Rolling mill and other metalworking machinery manufacturing                               12.70     2002      
33399A    Other general purpose machinery manufacturing                                             333911    Pump and pumping equipment manufacturing                                                  11.60     2002      
33399A    Other general purpose machinery manufacturing                                             333912    Air and gas compressor manufacturing                                                      77.30     2002      
33399A    Other general purpose machinery manufacturing                                             333920    Material handling equipment manufacturing                                                 8.00      2002      
33399A    Other general purpose machinery manufacturing                                             33399A    Other general purpose machinery manufacturing                                             12144.90  2002      
33399A    Other general purpose machinery manufacturing                                             33399B    Fluid power process machinery                                                             79.30     2002      
33399A    Other general purpose machinery manufacturing                                             336300    Motor vehicle parts manufacturing                                                         68.00     2002      
33399A    Other general purpose machinery manufacturing                                             339111    Laboratory apparatus and furniture manufacturing                                          75.80     2002      
33399A    Other general purpose machinery manufacturing                                             339112    Surgical and medical instrument manufacturing                                             43.60     2002      
33399A    Other general purpose machinery manufacturing                                             339991    Gasket, packing, and sealing device manufacturing                                         54.20     2002      
33399A    Other general purpose machinery manufacturing                                             420000    Wholesale trade                                                                           150.00    2002      
33399A    Other general purpose machinery manufacturing                                             541511    Custom computer programming services                                                      29.70     2002      
33399A    Other general purpose machinery manufacturing                                             811400    Personal and household goods repair and maintenance                                       0.10      2002      
33399A    Other general purpose machinery manufacturing                                             S00401    Scrap                                                                                     0.10      2002      
33399B    Fluid power process machinery                                                             332710    Machine shops                                                                             13.20     2002      
33399B    Fluid power process machinery                                                             33291A    Valve and fittings other than plumbing                                                    442.10    2002      
33399B    Fluid power process machinery                                                             333911    Pump and pumping equipment manufacturing                                                  66.20     2002      
33399B    Fluid power process machinery                                                             33399A    Other general purpose machinery manufacturing                                             11.90     2002      
33399B    Fluid power process machinery                                                             33399B    Fluid power process machinery                                                             4795.50   2002      
33399B    Fluid power process machinery                                                             335999    All other miscellaneous electrical equipment and component manufacturing                  45.30     2002      
33399B    Fluid power process machinery                                                             336992    Military armored vehicle, tank, and tank component manufacturing                          25.60     2002      
33399B    Fluid power process machinery                                                             420000    Wholesale trade                                                                           70.90     2002      
33399B    Fluid power process machinery                                                             541511    Custom computer programming services                                                      17.90     2002      
33399B    Fluid power process machinery                                                             S00401    Scrap                                                                                     1.00      2002      
334111    Electronic computer manufacturing                                                         230102    Nonresidential manufacturing structures                                                   2.20      2002      
334111    Electronic computer manufacturing                                                         334111    Electronic computer manufacturing                                                         35659.80  2002      
334111    Electronic computer manufacturing                                                         334112    Computer storage device manufacturing                                                     229.40    2002      
334111    Electronic computer manufacturing                                                         33411A    Computer terminals and other computer peripheral equipment manufacturing                  8833.00   2002      
334111    Electronic computer manufacturing                                                         334220    Broadcast and wireless communications equipment                                           51.50     2002      
334111    Electronic computer manufacturing                                                         334300    Audio and video equipment manufacturing                                                   40.90     2002      
334111    Electronic computer manufacturing                                                         334411    Electron tube manufacturing                                                               84.10     2002      
334111    Electronic computer manufacturing                                                         334418    Printed circuit assembly (electronic assembly) manufacturing                              575.40    2002      
334111    Electronic computer manufacturing                                                         334419    Other electronic component manufacturing                                                  100.30    2002      
334111    Electronic computer manufacturing                                                         33441A    Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing       74.10     2002      
334111    Electronic computer manufacturing                                                         335930    Wiring device manufacturing                                                               19.80     2002      
334111    Electronic computer manufacturing                                                         337127    Institutional furniture manufacturing                                                     16.60     2002      
334111    Electronic computer manufacturing                                                         420000    Wholesale trade                                                                           461.30    2002      
334111    Electronic computer manufacturing                                                         541511    Custom computer programming services                                                      623.90    2002      
334111    Electronic computer manufacturing                                                         54151A    Other computer related services, including facilities management                          44.70     2002      
334112    Computer storage device manufacturing                                                     230102    Nonresidential manufacturing structures                                                   1.20      2002      
334112    Computer storage device manufacturing                                                     334112    Computer storage device manufacturing                                                     7055.10   2002      
334112    Computer storage device manufacturing                                                     33411A    Computer terminals and other computer peripheral equipment manufacturing                  18.70     2002      
334112    Computer storage device manufacturing                                                     334413    Semiconductor and related device manufacturing                                            86.80     2002      
334112    Computer storage device manufacturing                                                     334418    Printed circuit assembly (electronic assembly) manufacturing                              305.40    2002      
334112    Computer storage device manufacturing                                                     334613    Magnetic and optical recording media manufacturing                                        10.00     2002      
334112    Computer storage device manufacturing                                                     420000    Wholesale trade                                                                           887.80    2002      
334112    Computer storage device manufacturing                                                     541511    Custom computer programming services                                                      150.20    2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  230102    Nonresidential manufacturing structures                                                   2.20      2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  313320    Fabric coating mills                                                                      68.70     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  32222A    Coated and laminated paper, packaging paper and plastics film manufacturing               57.60     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  325910    Printing ink manufacturing                                                                55.20     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  3259A0    All other chemical product and preparation manufacturing                                  64.40     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 63.80     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  32619A    Other plastics product manufacturing                                                      78.30     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  3274A0    Lime and gypsum product manufacturing                                                     50.90     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  33331A    Vending, commercial, industrial, and office machinery manufacturing                       27.90     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  334111    Electronic computer manufacturing                                                         3497.70   2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  334112    Computer storage device manufacturing                                                     443.50    2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  33411A    Computer terminals and other computer peripheral equipment manufacturing                  8777.40   2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  334411    Electron tube manufacturing                                                               38.30     2002      
33411A    Computer terminals and other computer peripheral equipment manufacturing                  334412    Bare printed circuit board manufacturing                                                  352.00    2002      
